Name,Address,Neighborhood,Notes,Venue Type,Website
Music Box Village,"4557 N Rampart St, New Orleans, LA 70117",Bywater,Unique outdoor venue featuring interactive musical architecture. Home of Electric Spring Festival. Also hosts regular events and rentals.,Outdoor,https://musicboxvillage.com
New Orleans Jazz Museum,"400 Esplanade Ave, New Orleans, LA 70116",French Quarter,State museum dedicated to jazz history. Home of Danny Barker Festival. Also hosts FQFest programming (Loyola Esplanade in the Shade Stage and Songwriter Stage).,Museum,https://www.louisianastatemuseum.org/museum/new-orleans-jazz-museum
New Orleans Lakefront — Lakeshore Drive,"5000 Lakeshore Drive, New Orleans, LA 70122",Gentilly,"Open lakefront grounds along Lake Pontchartrain. Home of Brews, Boils & Bubbles. Enter via Leon C. Simon under Seabrook Bridge — no entry from Franklin Ave.",Outdoor,https://www.nola.gov
Chalmette Memorial Park,"101 W. St. Bernard Hwy, Chalmette, LA 70043",,Outdoor festival grounds in downtown Chalmette. Home of the Louisiana Crawfish Festival. About 20 min east of New Orleans in St. Bernard Parish.,Outdoor,
The Howlin' Wolf,"907 S. Peters Street, New Orleans, LA 70130",CBD / Warehouse,CBD music venue. Hosts Fest by Nite shows during Jazz Fest season including Help on the Way supergroup.,Bar / Club,https://thehowlinwolf.com
Tipitina's,"501 Napoleon Avenue, New Orleans, LA 70115",Uptown,"Legendary New Orleans music venue founded in 1977. Home of Shorty Fest, Daze Between Band, and countless iconic shows. Wheelchair accessible. Free parking nearby.",Bar / Club,https://tipitinas.com
The Joy Theater,"1037 Canal Street, New Orleans, LA 70112",CBD / Warehouse,Mid-sized concert hall on Canal Street. Regular Fest by Nite venue during Jazz Fest season.,Concert Hall,https://thejoytheater.com
The Broadside,"600 N. Broad Street, New Orleans, LA 70119",Mid-City,Mid-City indoor/outdoor music venue. Home of NOLA Crawfish Fest during Jazz Fest daze between week.,Bar / Club,https://thebroadsideneworleans.com
Toulouse Theatre,"615 Toulouse Street, New Orleans, LA 70130",French Quarter,Intimate venue in the French Quarter. Hosts Fest by Nite late shows and daze between programming during Jazz Fest season.,Concert Hall,https://toulousetheatre.com
d.b.a.,"618 Frenchmen Street, New Orleans, LA 70116",Marigny,"Live music club on Frenchmen Street since 2000. No cover most nights. Vast beer, wine & spirits selection. Friday open until 3am, Saturday from 2pm. Home of Tuba Skinny's regular Saturday sets.",Bar / Club,https://www.dbaneworleans.com
Gasa Gasa,"4920 Freret Street, New Orleans, LA 70115",Uptown,Intimate indie/alternative venue on Freret Street in Uptown. Known for eclectic bookings and a welcoming atmosphere.,Bar / Club,https://www.gasagasanola.com
Snug Harbor Jazz Bistro,"626 Frenchmen Street, New Orleans, LA 70116",Marigny,Legendary intimate jazz venue anchoring Frenchmen Street since the 1980s. Two shows nightly (typically 7:30pm & 9:30pm). Full Creole dining available. Ages 13+ welcome for shows. Reservations recommended via OpenTable.,Bar / Club,https://snugjazz.com
Chickie Wah Wah,"2828 Canal Street, New Orleans, LA 70119",Mid-City,Mid-City live music club and bar. Regular venue for local and touring acts. Intimate setting with a great vibe.,Bar / Club,https://www.chickiewahwah.com
Freret Street,"Freret Street, New Orleans, LA 70115",Uptown,"Six-block stretch of Uptown New Orleans from Napoleon to Valmont. Home of the annual Freret Street Festival (first Saturday of April). Vibrant mix of restaurants, bars, boutiques, and music venues.",Outdoor,
New Orleans Jazz Market,"1436 Oretha Castle Haley Blvd, New Orleans, LA 70113",CBD / Warehouse,"Premium intimate jazz venue in the Warehouse District. Home to serious jazz performances including Stanton Moore, Donald Harrison, and other NOLA legends. Excellent acoustics and sightlines.",Concert Hall,https://www.neworleansjazzmarket.com
Saenger Theatre,"1111 Canal Street, New Orleans, LA 70112",CBD / Warehouse,"Beautifully restored historic theater on Canal Street. One of NOLA's premier concert halls for major touring acts. Hosts Broadway, rock, jazz legends and more.",Theater,https://www.saengernola.com
Civic Theatre,"510 O'Keefe Ave, New Orleans, LA 70113",CBD / Warehouse,"Historic 1930 art deco theater in the CBD. ~1,500 cap. Hosts touring acts and Jazz Fest season shows.",Theater,https://civicnola.com
The Fillmore New Orleans,"1700 Magazine St, New Orleans, LA 70130",CBD / Warehouse,"Mid-size concert hall (~2,500 cap) in the Warehouse District. AEG-operated. Hosts national touring acts and Jazz Fest season shows.",Concert Hall,https://www.fillmorenola.com
Orpheum Theater,"129 Roosevelt Way, New Orleans, LA 70112",CBD / Warehouse,"Historic 1918 beaux-arts theater beautifully restored in 2016. ~1,500 seats. Home of the Louisiana Philharmonic Orchestra and Jazz Afterdark concert series during Jazz Fest.",Theater,https://orpheumnola.com
New Orleans Pharmacy Museum,"514 Chartres St, New Orleans, LA 70130",French Quarter,"Historic 1823 apothecary turned museum. Features a beautiful outdoor courtyard used for intimate Jazz Fest season concerts. 18+, BYOB/cash bar. Small capacity — ticket availability at door not guaranteed.",Outdoor,https://pharmacymuseum.org
Republic NOLA,"828 S Peters St, New Orleans, LA 70130",CBD / Warehouse,"Warehouse District mid-size venue (~1,200 cap). Popular for Jazz Fest season shows and touring acts.",Bar / Club,https://republicnola.com
