EventName,Acts,Cost,Date,Entry Method,Event Type,Interested?,Link,Notes,Organization,Place,Series,Source,Status,Time,Venue
Keep'N It Real Ladies S&P Club Second Line,,,"March 8, 2026",,Second Line,No,https://www.wwoz.org/events/1293256,"Route: Starts Bayou St. John → Orleans Ave → N. Broad (stop Chill Will Barbershop) → St. Bernard → N. Claiborne (stop Da Jump Off) → Robertson (stop Hank's Bar / Dumaine Gang) → Esplanade → Orleans Ave (stop Goldy's / Undefeated Divas) → Disbands Club Good Times, 2901 Conti.",,,,,,1:00 PM - 5:00 PM,
Dirk & Amelia Powell,,,"March 7, 2026",,Live Music,No,,Venue: Chickie Wah Wah,,,,,,8:00 PM,
Jazz Fest — Weekend 2,,Ticketed,"April 30, 2026 → May 3, 2026",,Festival,Yes,https://www.nojazzfest.com,"Weekend 2 at the Fairgrounds. Headliners include Eagles, Stevie Nicks (her only 2026 show), Rod Stewart (farewell tour), Lorde, Kings of Leon, David Byrne. Check cube schedule for daily lineups.",,,,,,,New Orleans Fairgrounds (https://www.notion.so/New-Orleans-Fairgrounds-330a37df871081108bc4fd719cfc8eb3?pvs=21)
Congo Square Rhythms Festival,,Free,"March 28, 2026 → March 29, 2026",,Festival,Yes,https://www.jazzandheritage.org/events/2026-congo-square-rhythms-festival/,"Free weekend festival at Armstrong Park in Tremé celebrating African diaspora music, food, and dance. Features Class Got Brass school brass band competition on Saturday. No pets, no A/V recording.",,,,,,,Louis Armstrong Park (https://www.notion.so/Louis-Armstrong-Park-330a37df8710813c8758ea578aa8cde8?pvs=21)
Jazz Fest — Weekend 1,,Ticketed (discounted Locals Thursday Apr 23),"April 23, 2026 → April 26, 2026",,Festival,Yes,https://www.nojazzfest.com,"At the Fairgrounds (1751 Gentilly Blvd). 15 stages, 5000+ musicians. Headliners TBD by day — check cube schedule. Local faves include Trombone Shorty, Jon Batiste, Preservation Hall Jazz Band, Big Freedia. Cashless. Cultural Exchange Pavilion features Jamaica this year.",,,,,,,New Orleans Fairgrounds (https://www.notion.so/New-Orleans-Fairgrounds-330a37df871081108bc4fd719cfc8eb3?pvs=21)
Hogs for the Cause,,Ticketed,"April 10, 2026 → April 11, 2026",,Festival,Yes,https://hogsfest.org,"BBQ and music festival at UNO Lakefront Arena Grounds (6801 Franklin Ave). 90+ BBQ teams, 20 musical acts, 30k+ attendees. Raises money for pediatric brain cancer families. Cashless event. Gates open 3:30pm Fri, 11am Sat. Music includes Charles Wesley Godwin, Stephen Wilson Jr., The Castellows.",,,,,,,UNO Lakefront Arena Festival Grounds (https://www.notion.so/UNO-Lakefront-Arena-Festival-Grounds-330a37df871081619443e498a6c33631?pvs=21)
Electric Spring Festival,,Ticketed,,,Festival,Yes,https://electricspringfestival.com,"New electronic music festival at Music Box Village. Features Bouffant Bouffant, Kilobauud, Dr. Romance, Legatron Prime, Funke, and more. Also visual artists, a market, and pop-ups. DATE TBD — check http://electricspringfestival.com.",,,,,,,Music Box Village (https://www.notion.so/Music-Box-Village-330a37df871081b3999dcc9dab726c80?pvs=21)
Overlook Film Festival,,Ticketed,"April 9, 2026 → April 12, 2026",,Festival,No,https://overlookfilmfest.com,"Horror film festival at Canal Place (333 Canal St). Features independent horror cinema, interactive/live shows, a horror parade, and immersive events. Films include Obsession, Leviticus, Hokum, and Faces of Death (filmed in NOLA).",,,,,,,Canal Place Cinema (https://www.notion.so/Canal-Place-Cinema-330a37df8710817dadcbf0af80ca86b0?pvs=21)
Giant Puppet Festival,,"Mixed (some free, some ticketed)","April 9, 2026 → April 13, 2026",,Festival,No,https://neworleansgiantpuppetfest.com,"Multi-venue festival across Marigny/Bywater — no single home venue. Venues include Mudlark Public Theater, New Marigny Theatre, Marigny Opera House, Clouet Gardens, AllWays Lounge, CANOA, and more. Check http://neworleansgiantpuppetfest.com for full schedule and venue details.",,,,,,,
Danny Barker Banjo & Guitar Festival,,Free,"March 27, 2026 → March 29, 2026",,Festival,Yes,https://dannybarkerfestival.com,"Three days of music at the New Orleans Jazz Museum. Lineup includes Dirty Dozen Brass Band, Kermit Ruffins, Charmaine Neville, John Boutte, Dixie Cups, Leroy Jones, and more.",,,,,,,New Orleans Jazz Museum (https://www.notion.so/New-Orleans-Jazz-Museum-330a37df871081d3a328dfb987641abb?pvs=21)
French Quarter Festival,,Free (suggested $5 donation),"April 16, 2026 → April 19, 2026",,Festival,Yes,https://frenchquarterfest.org,"Nation's largest free Louisiana music festival. 300+ performances. Headliners include Irma Thomas, Big Freedia, Cyril Neville, PJ Morton. New this year: expanded riverfront footprint at Goldring Woldenberg Park, 5K race on Apr 18. Louisiana Fish Fry Stage features brass bands + DJ Poppa bounce sets.",,,,,,,Goldring Woldenberg Riverfront Park (https://www.notion.so/Goldring-Woldenberg-Riverfront-Park-330a37df8710816e9923eebdbeffe9e2?pvs=21)
"Brews, Boils & Bubbles Festival",,$5 GA,"March 29, 2026 → March 29, 2026",,Festival,Yes,https://brewsboilsbubbles.com,"3rd annual Louisiana seafood boil festival on the Lakefront. 15+ boilers and dessert vendors, craft beer, champagne, premium spirits, all-day live music. All ages (VIP 21+). From producers of the National Fried Chicken Festival. 

🚲 BIKE FRIENDLY — ~5.5 miles / 30-40 min ride from the Marigny. Flat the whole way, great alternative to dealing with parking.

⚠️ ENTRANCE: Enter via Leon C. Simon under Seabrook Bridge ONLY. No entry from Franklin Ave or UNO Lakefront Arena. Rideshare drop-off at Leroy Johnson & Lakeshore Dr. Parking is extremely limited and first come first serve on Lakeshore Drive.",,,,,,12:00 PM – 8:00 PM,New Orleans Lakefront — Lakeshore Drive (https://www.notion.so/New-Orleans-Lakefront-Lakeshore-Drive-330a37df8710811cabdbc77a72d5fe33?pvs=21)
Louisiana Crawfish Festival,,Ticketed,"March 26, 2026 → March 29, 2026",,Festival,Yes,https://www.lacrawfishfest.com,"Annual crawfish festival in Chalmette. Boiled crawfish, crawfish bread, crawfish pie, crawfish jambalaya — mudbugs every which way. Live music, parade, amusement rides, games (egg tosses, sack races), food vendors. About 20 min east of NOLA.",,,,,,,Chalmette Memorial Park (https://www.notion.so/Chalmette-Memorial-Park-330a37df871081f0a359c419fe5d3d45?pvs=21)
NOLA Crawfish Fest ⚠️ CANCELLED 2026,,Ticketed,"April 28, 2026 → April 30, 2026",,Festival,Yes,https://thebroadsideneworleans.com,"⚠️ NOT HAPPENING IN 2026 — Confirmed cancelled per organizer ('Shaggy'). Replaced by the 1st Annual Bayou RenDAZEvous at The Broadside on Monday April 27 (also presented by Satisfied Productions). Check back for 2027. | ORIGINAL NOTES: Multi-day outdoor food and music festival at The Broadside during the daze between Jazz Fest weekends. FOOD: Hot boiled crawfish, Cajun specialties. Daytime family-friendly festival atmosphere.",,,,,,Gates open 3pm daily,The Broadside (https://www.notion.so/The-Broadside-330a37df8710817aa21ec9dfff49e4f1?pvs=21)
Gallatin Street Fest 2026,,Free,"April 27, 2026",,,Yes,https://nolajazzmuseum.org,"Free all-day event at the New Orleans Jazz Museum (400 Esplanade Ave). Celebrates the city's rich musical and cultural heritage.

Features: Live performances from a star-studded roster of New Orleans artists across diverse genres, local food vendors, full-service bar, curated merchandise and vinyl from Gallatin Street Records.

All ages. Coincides with the daze between Jazz Fest weekends — a great daytime option before evening shows.",,,,,,,New Orleans Jazz Museum (https://www.notion.so/New-Orleans-Jazz-Museum-330a37df871081d3a328dfb987641abb?pvs=21)
Shorty Fest 2026,"Trombone Shorty (https://www.notion.so/Trombone-Shorty-337a37df871081e9aca6f5a54a2d5be8?pvs=21), Big Freedia (https://www.notion.so/Big-Freedia-337a37df871081bfafdff19a6f8eae58?pvs=21)","Free outdoor block party. Indoor GA $125, VIP $300","April 27, 2026",,Festival,Yes,https://tipitinas.com,"Annual fundraiser for the Trombone Shorty Foundation. Largest fundraiser for the Foundation.

INDOOR PERFORMERS (Tipitina's): Trombone Shorty & Orleans Avenue, Cimafunk & La Tribu. Special guests: Tarriona 'Tank' Ball (Tank & The Bangas), Big Freedia, Jelly Joseph, JoJo Hermann (Widespread Panic). Plus Primera Linea (youth band from Havana) with Trombone Shorty Foundation students.

OUTDOOR BLOCK PARTY (Napoleon Ave neutral ground): Brass bands, Mardi Gras Indians, Battle of the Bands (two local high school marching bands), food trucks, kids area, silent auction, Tipitina's Walk of Fame Induction Ceremony honoring Roger Lewis (Dirty Dozen Brass Band).

VIP includes: early entry, indoor balcony, outdoor VIP tent with food from Jacques-Imo's, signature open bar.

Themed around NOLA-Cuba musical ties this year — reflects Foundation's many musical excursions to Havana.",,,,Tipitina's (https://www.notion.so/Tipitina-s-337a37df87108106828eef40c08353f2?pvs=21),,"Outdoor 5pm / Indoor doors 7pm, show 8pm",Tipitina's (https://www.notion.so/Tipitina-s-330a37df871081128e2fd728f5c8e142?pvs=21)
The Daze Between Band — Tipitina's,"Dumpstaphunk (https://www.notion.so/Dumpstaphunk-337a37df871081d2adc7f238396714c1?pvs=21), George Porter Jr. (https://www.notion.so/George-Porter-Jr-337a37df8710819b8709c1297b03a763?pvs=21)",SOLD OUT,"April 29, 2026",,Live Music,Yes,https://tipitinas.com,"⚠️ SOLD OUT — 8th annual edition. The crown jewel of the daze between. Late-night all-star jam marking the midpoint between Jazz Fest weekends.

CORE LINEUP: Eric Krasno (guitar, Soulive) — bandleader, George Porter Jr. (bass, The Meters), Oteil Burbridge (bass, Dead & Company / Allman Brothers Band), Ivan Neville (keys/vocals, Dumpstaphunk), Tony Hall (bass/vocals, Dumpstaphunk), Raymond Weber (drums, formerly Dumpstaphunk), Cory Henry (keys), Ryan Zoidis (sax, Lettuce), Eric 'Benny' Bloom (trumpet, Lettuce), Kanika Moore (vocals), and more special guests TBA.

SURPRISE GUESTS EXPECTED — in 2025 included Dave Matthews, Phish's Mike Gordon, G. Love, Andy Frasco, Duane Betts, Neal Francis, Jeff Coffin. Always expect the unexpected.

Presented by Live For Live Music, GMP Live, Purple Hat Productions, Dayglo Presents. Even if sold out, worth checking resale closer to date.",,,,Tipitina's (https://www.notion.so/Tipitina-s-337a37df87108106828eef40c08353f2?pvs=21),,Doors 9pm / Music 10pm,Tipitina's (https://www.notion.so/Tipitina-s-330a37df871081128e2fd728f5c8e142?pvs=21)
Hot 8 Brass Band — Howlin' Wolf,Hot 8 Brass Band (https://www.notion.so/Hot-8-Brass-Band-337a37df87108167b39bcedfba11e799?pvs=21),Free (no cover),"April 5, 2026",Claude Agent,Live Music,Yes,https://thehowlinwolf.com,"Grammy-winning Hot 8 Brass Band at The Howlin' Wolf. One of NOLA's most celebrated brass bands, known for blending traditional second line with hip hop and soul. Late night Easter Sunday show.",,,,,,10:30pm,The Howlin' Wolf (https://www.notion.so/The-Howlin-Wolf-330a37df8710810e92e6ec8780c42dbf?pvs=21)
Charmaine Neville Band — Snug Harbor,Charmaine Neville (https://www.notion.so/Charmaine-Neville-337a37df8710815d8651f15c0122db4a?pvs=21),Ticketed,"April 6, 2026",Claude Agent,Live Music,Yes,https://snugjazz.com,"Two shows at Snug Harbor. Charmaine Neville is NOLA royalty — daughter of Charles Neville (The Neville Brothers), beloved jazz and R&B vocalist who has performed on Frenchmen Street for decades. A Monday night treat for friends still in town.",,,,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-337a37df87108108a9a7dedae8195534?pvs=21),,7:30pm & 9:30pm,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-336a37df8710817d991ac7c353a0b568?pvs=21)
French Quarter Easter Parade,,Free,"April 5, 2026",Claude Agent,Parade,Yes,https://frenchquartereasterparade.com,"Annual Easter Sunday parade through the heart of the French Quarter. Floats, costumed marchers, and an Easter hat contest. Formerly known as the Chris Owens Easter Parade. A very NOLA way to spend Easter morning. Free to watch.",,,,,,,Goldring Woldenberg Riverfront Park (https://www.notion.so/Goldring-Woldenberg-Riverfront-Park-330a37df8710816e9923eebdbeffe9e2?pvs=21)
Stanton Moore: The Music of Allen Toussaint ft. Cyril Neville & Nicholas Payton,,$42,"April 4, 2026",Claude Agent,Live Music,Yes,https://www.neworleansjazzmarket.com,"A serious NOLA jazz event. Stanton Moore (founding drummer of Galactic, Grammy-nominated) leads a tribute to Allen Toussaint — one of NOLA's most beloved composers and producers. Featuring Cyril Neville (The Neville Brothers) and Nicholas Payton (acclaimed jazz trumpeter). Intimate Jazz Market setting. Two shows possible — check venue for exact times.",,,,,,7:30pm,New Orleans Jazz Market (https://www.notion.so/New-Orleans-Jazz-Market-336a37df871081e8afe7e8c780de40fe?pvs=21)
La'Trez Anderson,,$50,"April 3, 2026",Claude Agent,Live Music,No,https://thehowlinwolf.com,Solo show at The Howlin' Wolf.,,,,,,8pm,The Howlin' Wolf (https://www.notion.so/The-Howlin-Wolf-330a37df8710810e92e6ec8780c42dbf?pvs=21)
Minx Burlesque,,Ticketed,"April 5, 2026",Claude Agent,,No,https://thehowlinwolf.com,Burlesque show at The Howlin' Wolf on Easter Sunday evening.,,,,,,6pm,The Howlin' Wolf (https://www.notion.so/The-Howlin-Wolf-330a37df8710810e92e6ec8780c42dbf?pvs=21)
ZZ Top,,Ticketed,"April 6, 2026",Claude Agent,,No,https://www.saengernola.com,ZZ Top at the historic Saenger Theatre. Classic Texas blues rock legends. Good option for Monday night if friends are still in town.,,,,,,8pm,Saenger Theatre (https://www.notion.so/Saenger-Theatre-336a37df871081ebb8f0e5c1f3167469?pvs=21)
Racoma / Lilly Miller,,$37,"April 3, 2026",Claude Agent,Live Music,No,https://www.chickiewahwah.com,Show at Chickie Wah Wah on Canal Street.,,,,,,8pm,Chickie Wah Wah (https://www.notion.so/Chickie-Wah-Wah-336a37df871081b0b67ef9b3c8fd3f91?pvs=21)
Mahmoud Chouki New World Ensemble — Easter Celebration,,Ticketed,"April 5, 2026",Claude Agent,Live Music,Yes,https://snugjazz.com,"Easter Sunday special at Snug Harbor. Two shows. Mahmoud Chouki is a celebrated Moroccan-American musician blending world music, jazz and North African traditions. A fitting Easter Sunday celebration at one of NOLA's most intimate venues.",,,,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-337a37df87108108a9a7dedae8195534?pvs=21),,Two shows — check http://snugjazz.com for times,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-336a37df8710817d991ac7c353a0b568?pvs=21)
Freret Street Festival,,Free,"April 4, 2026",Claude Agent,Festival,Yes,https://freretstfest.com,"Annual free neighborhood street festival on Freret Street, first Saturday of April. Six blocks from Napoleon to Valmont. 3 stages, 20+ bands across jazz, funk, brass, and rock. 200+ local artists and chefs, 46 brick-and-mortar businesses open. Classic NOLA daytime festival — great for visitors. All ages.",,,,,,,Freret Street (https://www.notion.so/Freret-Street-336a37df871081de906ce25765b5f9b9?pvs=21)
Tribute to Charlie Gabriel with Lawrence Sieberth,,Ticketed,"April 4, 2026",Claude Agent,Live Music,No,https://snugjazz.com,"Two shows at Snug Harbor. Tribute to Charlie Gabriel, beloved NOLA jazz clarinetist. Lawrence Sieberth is a versatile pianist/composer who served as musical director for Germaine Bazzle and the Original Tuxedo Jazz Band.",,,,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-337a37df87108108a9a7dedae8195534?pvs=21),,7:30pm & 9:30pm,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-336a37df8710817d991ac7c353a0b568?pvs=21)
Jason Marsalis — Tribute to Brian Wilson & the Beach Boys,,Ticketed,"April 3, 2026",Claude Agent,Live Music,Yes,https://snugjazz.com,Two shows: 7:30pm & 9:30pm. Jason Marsalis is the youngest son of jazz patriarch Ellis Marsalis Jr. and one of NOLA's most respected drummers. A uniquely New Orleans take on Brian Wilson's iconic catalog. Intimate Snug Harbor setting on Frenchmen Street. Dinner reservations available via OpenTable before the show.,,,,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-337a37df87108108a9a7dedae8195534?pvs=21),,7:30pm & 9:30pm,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-336a37df8710817d991ac7c353a0b568?pvs=21)
Rebirth Brass Band,Rebirth Brass Band (https://www.notion.so/Rebirth-Brass-Band-337a37df8710811ea63cde2563237480?pvs=21),Ticketed,"April 4, 2026",Claude Agent,Live Music,Yes,https://tipitinas.com,"Rebirth Brass Band at Tipitina's — always a high energy show. Rebirth are one of the defining contemporary brass bands in NOLA, known for fusing traditional second line with funk, hip hop and jazz. Opening act: Sweet Magnolia. Ages 18+.",,,,Tipitina's (https://www.notion.so/Tipitina-s-337a37df87108106828eef40c08353f2?pvs=21),,Doors 7:30pm / Show 8:30pm,Tipitina's (https://www.notion.so/Tipitina-s-330a37df871081128e2fd728f5c8e142?pvs=21)
Johnny Sketch & The Dirty Notes,,Ticketed,"April 5, 2026",Claude Agent,Live Music,Yes,https://tipitinas.com,"Easter Sunday at Tipitina's. Johnny Sketch & The Dirty Notes are a beloved NOLA funk/soul band — high energy, deeply local. Opening act: Marc Paradis Performs Sea of Tranquility. Ages 18+.",,,,Tipitina's (https://www.notion.so/Tipitina-s-337a37df87108106828eef40c08353f2?pvs=21),,Doors 7pm / Show 8pm,Tipitina's (https://www.notion.so/Tipitina-s-330a37df871081128e2fd728f5c8e142?pvs=21)
Tuba Skinny — d.b.a.,Tuba Skinny (https://www.notion.so/Tuba-Skinny-337a37df871081498ac9e14a5d3c358e?pvs=21),"Free (no cover, drink purchase)","April 4, 2026",Claude Agent,Live Music,Yes,https://www.dbaneworleans.com,"Tuba Skinny are one of the finest traditional jazz bands in New Orleans — rooted in 1920s-30s New Orleans jazz, blues, and hokum. No cover, just buy a drink. Saturday sets at d.b.a. are legendary. Do not miss this if you like authentic NOLA music.",,,,,,6pm - 9pm,d.b.a. (https://www.notion.so/d-b-a-336a37df8710811c8ce1eaaf666c47c8?pvs=21)
Rob Wagner Trio — Snug Harbor,,Ticketed,"April 5, 2026",Claude Agent,Live Music,No,https://snugjazz.com,Easter Sunday show at Snug Harbor.,,,,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-337a37df87108108a9a7dedae8195534?pvs=21),,7:30pm,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-336a37df8710817d991ac7c353a0b568?pvs=21)
Crescent City Classic 10K,,~$70 to run / Free to watch,"April 4, 2026",Claude Agent,Community / Neighborhood,Yes,https://ccc10k.com,"Annual 10K road race on Easter Saturday. Route runs from near the Caesars Superdome through the French Quarter, up through Tremé, along Esplanade Ave to City Park. Post-race festival in City Park with live music, food, drink vendors, and costume contest. Even if not running, lining up on Esplanade Ave is great people-watching. Plenty of costume runners.",,,,,,Morning race / post-race festival all day,
Loyola's Uptown Threauxdown — Tipitina's,,Ticketed,"April 8, 2026",Claude Agent,,No,https://www.ticketweb.com/event/loyolas-uptown-threauxdown-tipitinas-tickets/14126804,Loyola University's annual Uptown Threauxdown music showcase at Tipitina's. Local student and community performers. Ages 18+.,,,,Tipitina's (https://www.notion.so/Tipitina-s-337a37df87108106828eef40c08353f2?pvs=21),,Doors 6pm / Show 7pm,Tipitina's (https://www.notion.so/Tipitina-s-330a37df871081128e2fd728f5c8e142?pvs=21)
Zoë de Priester's Graduate Recital — Snug Harbor,,Ticketed,"April 8, 2026",Claude Agent,Live Music,No,https://snugjazz.com/calendar/,Graduate recital performance at Snug Harbor. Single show.,,,,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-337a37df87108108a9a7dedae8195534?pvs=21),,7:30pm,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-336a37df8710817d991ac7c353a0b568?pvs=21)
Jasen Weaver Sextet — Snug Harbor,,Ticketed,"April 7, 2026",Claude Agent,Live Music,No,https://snugjazz.com/calendar/,Jasen Weaver Sextet at Snug Harbor. Two shows: 7:30pm & 9:30pm. Ticketed.,,,,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-337a37df87108108a9a7dedae8195534?pvs=21),,7:30pm & 9:30pm,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-336a37df8710817d991ac7c353a0b568?pvs=21)
Delfeayo Marsalis & the Uptown Jazz Orchestra — Snug Harbor,,Ticketed,"April 8, 2026",Claude Agent,Live Music,No,https://snugjazz.com/calendar/,"Delfeayo Marsalis (trombonist, youngest of the Marsalis brothers) leads the Uptown Jazz Orchestra. Regular Snug Harbor booking. Two shows: 7:30pm & 9:30pm.",,,,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-337a37df87108108a9a7dedae8195534?pvs=21),,7:30pm & 9:30pm,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-336a37df8710817d991ac7c353a0b568?pvs=21)
"Josh, Josh & Friends — Snug Harbor",,Ticketed,"April 9, 2026",Claude Agent,Live Music,No,https://snugjazz.com/calendar/,"Josh, Josh & Friends at Snug Harbor. Two shows: 7:30pm & 9:30pm.",,,,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-337a37df87108108a9a7dedae8195534?pvs=21),,7:30pm & 9:30pm,Snug Harbor Jazz Bistro (https://www.notion.so/Snug-Harbor-Jazz-Bistro-336a37df8710817d991ac7c353a0b568?pvs=21)
New Orleans Suspects presents Reuben's Painted Mandolin — Maple Leaf,,Ticketed,"April 4, 2026",Claude Agent,Live Music,No,https://www.mapleleafbar.com/events/new-orleans-suspects-presents-reubens-painted-mandolin,"The New Orleans Suspects — NOLA funk/rock/jam supergroup — present Reuben's Painted Mandolin, a show celebrating the music of Jerry Garcia Band. Ages 21+.",,,,Maple Leaf Bar (https://www.notion.so/Maple-Leaf-Bar-337a37df871081f1ae0fc1d154a8dd65?pvs=21),,Doors 7pm / Show 8pm,Maple Leaf Bar (https://www.notion.so/Maple-Leaf-Bar-2fea37df87108191b26ed28cde42d35e?pvs=21)
Booker & Beyond: Prof. Tim Piano Series feat. Josh Paxton — Maple Leaf,,Ticketed,"April 9, 2026",Claude Agent,Live Music,No,https://www.mapleleafbar.com/events/booker-beyond-the-professor-tim-piano-series-featuring-josh-paxton-1,"Weekly Thursday Booker & Beyond Piano Series celebrating New Orleans piano traditions, honoring James Carroll Booker. This week featuring Josh Paxton. Ages 21+.",,,,Maple Leaf Bar (https://www.notion.so/Maple-Leaf-Bar-337a37df871081f1ae0fc1d154a8dd65?pvs=21),,Doors 5pm / Show 6pm,Maple Leaf Bar (https://www.notion.so/Maple-Leaf-Bar-2fea37df87108191b26ed28cde42d35e?pvs=21)
BC3 — Maple Leaf,,Ticketed,"April 5, 2026",Claude Agent,Live Music,No,https://www.mapleleafbar.com/events/bc3-with-rik-fletcher-doug-belote-bert-cotton,"BC3 with Rik Fletcher, Doug Belote & Bert Cotton. Ages 21+.",,,,Maple Leaf Bar (https://www.notion.so/Maple-Leaf-Bar-337a37df871081f1ae0fc1d154a8dd65?pvs=21),,Doors 7pm / Show 8pm,Maple Leaf Bar (https://www.notion.so/Maple-Leaf-Bar-2fea37df87108191b26ed28cde42d35e?pvs=21)
Happy Organ Hour: Joe Ashlar feat. Stanton Moore & Ari Teitel — Maple Leaf,Stanton Moore (https://www.notion.so/Stanton-Moore-337a37df871081b7a0edc1f041908f5f?pvs=21),Ticketed,"April 8, 2026",Claude Agent,Live Music,No,https://www.mapleleafbar.com/events/happy-organ-hour-presented-by-joe-ashlar-with-stanton-moore-ari-teitel-1,"Happy Organ Hour presented by Joe Ashlar, featuring Stanton Moore (Galactic) and Ari Teitel. Weekly Wednesday organ night. Ages 21+.",,,,Maple Leaf Bar (https://www.notion.so/Maple-Leaf-Bar-337a37df871081f1ae0fc1d154a8dd65?pvs=21),,Doors 6pm / Show 7pm,Maple Leaf Bar (https://www.notion.so/Maple-Leaf-Bar-2fea37df87108191b26ed28cde42d35e?pvs=21)
NOLA Very Good Tuesday — Maple Leaf,,Free,"April 7, 2026",Claude Agent,Live Music,No,https://www.mapleleafbar.com/events/nola-very-good-tuesday-1,"Recurring weekly free improv night every Tuesday at 9pm. New Orleans' top musicians, no covers played — only originals and improvisation. Rotating lineup, no advance ticket needed. Ages 21+.",,,,Maple Leaf Bar (https://www.notion.so/Maple-Leaf-Bar-337a37df871081f1ae0fc1d154a8dd65?pvs=21),,Show 9pm,Maple Leaf Bar (https://www.notion.so/Maple-Leaf-Bar-2fea37df87108191b26ed28cde42d35e?pvs=21)
James Jordan and the Situation — Maple Leaf,,Ticketed,"April 9, 2026",Claude Agent,Live Music,No,https://www.mapleleafbar.com/events/james-jordan-and-the-situation-1,James Jordan and the Situation. Ages 21+.,,,,Maple Leaf Bar (https://www.notion.so/Maple-Leaf-Bar-337a37df871081f1ae0fc1d154a8dd65?pvs=21),,Doors 7pm / Show 8pm,Maple Leaf Bar (https://www.notion.so/Maple-Leaf-Bar-2fea37df87108191b26ed28cde42d35e?pvs=21)
